t	Vt	phi	theta	psi	PN	PE	H	ele	ail	rud	eng	H_cmd
0.900000	29.999987	0.000000	0.990974	0.000000	-1073.000020	0.000000	50.002312	0.993619	0.000000	0.000000	46.305611	50.000000
0.910000	29.999987	0.000000	0.990954	0.000000	-1072.700021	0.000000	50.002344	0.993629	0.000000	0.000000	46.305507	50.000000
0.920000	29.999988	0.000000	0.990933	0.000000	-1072.400021	0.000000	50.002375	0.993640	0.000000	0.000000	46.305399	50.000000
0.935000	29.999988	0.000000	0.990902	0.000000	-1071.950021	0.000000	50.002422	0.993660	0.000000	0.000000	46.305170	50.000000
0.945000	29.999988	0.000000	0.990880	0.000000	-1071.650021	0.000000	50.002453	0.993669	0.000000	0.000000	46.305050	50.000000
0.955000	29.999989	0.000000	0.990858	0.000000	-1071.350021	0.000000	50.002484	0.993679	0.000000	0.000000	46.304926	50.000000
0.965000	29.999989	0.000000	0.990836	0.000000	-1071.050021	0.000000	50.002515	0.993688	0.000000	0.000000	46.304798	50.000000
0.975000	29.999989	0.000000	0.990813	0.000000	-1070.750021	0.000000	50.002546	0.993697	0.000000	0.000000	46.304667	50.000000
0.985000	29.999990	0.000000	0.990790	0.000000	-1070.450022	0.000000	50.002576	0.993706	0.000000	0.000000	46.304532	50.000000
0.995000	29.999990	0.000000	0.990766	0.000000	-1070.150022	0.000000	50.002607	0.993715	0.000000	0.000000	46.304393	50.000000
1.005000	29.999990	0.000000	0.990743	0.000000	-1069.850022	0.000000	50.002638	0.993724	0.000000	0.000000	46.304252	50.000000
1.015000	29.999990	0.000000	0.990718	0.000000	-1069.550022	0.000000	50.002668	0.993732	0.000000	0.000000	46.304106	50.000000
1.025000	29.999991	0.000000	0.990694	0.000000	-1069.250022	0.000000	50.002699	0.993740	0.000000	0.000000	46.303958	50.000000
1.040000	29.999991	0.000000	0.990656	0.000000	-1068.800022	0.000000	50.002744	0.993748	0.000000	0.000000	46.303807	50.000000
1.050000	29.999991	0.000000	0.990631	0.000000	-1068.500022	0.000000	50.002775	0.993756	0.000000	0.000000	46.303652	50.000000
1.060000	29.999992	0.000000	0.990605	0.000000	-1068.200022	0.000000	50.002805	0.993763	0.000000	0.000000	46.303495	50.000000
1.070000	29.999992	0.000000	0.990579	0.000000	-1067.900022	0.000000	50.002835	0.993771	0.000000	0.000000	46.303334	50.000000
1.080000	29.999992	0.000000	0.990553	0.000000	-1067.600022	0.000000	50.002865	0.993778	0.000000	0.000000	46.303171	50.000000
1.090000	29.999993	0.000000	0.990526	0.000000	-1067.300023	0.000000	50.002895	0.993785	0.000000	0.000000	46.303005	50.000000
1.100000	29.999993	0.000000	0.990499	0.000000	-1067.000023	0.000000	50.002925	0.993792	0.000000	0.000000	46.302836	50.000000
1.110000	29.999993	0.000000	0.990472	0.000000	-1066.700023	0.000000	50.002954	0.993799	0.000000	0.000000	46.302665	50.000000
1.125000	29.999994	0.000000	0.990431	0.000000	-1066.250023	0.000000	50.002999	0.993812	0.000000	0.000000	46.302315	50.000000
1.135000	29.999994	0.000000	0.990403	0.000000	-1065.950023	0.000000	50.003028	0.993818	0.000000	0.000000	46.302136	50.000000
1.145000	29.999994	0.000000	0.990376	0.000000	-1065.650023	0.000000	50.003057	0.993824	0.000000	0.000000	46.301955	50.000000
1.155000	29.999994	0.000000	0.990347	0.000000	-1065.350023	0.000000	50.003086	0.993830	0.000000	0.000000	46.301772	50.000000
1.165000	29.999995	0.000000	0.990319	0.000000	-1065.050023	0.000000	50.003116	0.993836	0.000000	0.000000	46.301586	50.000000
1.175000	29.999995	0.000000	0.990290	0.000000	-1064.750023	0.000000	50.003145	0.993842	0.000000	0.000000	46.301398	50.000000
1.185000	29.999995	0.000000	0.990261	0.000000	-1064.450023	0.000000	50.003173	0.993847	0.000000	0.000000	46.301208	50.000000
1.195000	29.999995	0.000000	0.990232	0.000000	-1064.150023	0.000000	50.003202	0.993853	0.000000	0.000000	46.301016	50.000000
1.205000	29.999996	0.000000	0.990203	0.000000	-1063.850023	0.000000	50.003231	0.993858	0.000000	0.000000	46.300822	50.000000
1.220000	29.999996	0.000000	0.990159	0.000000	-1063.400023	0.000000	50.003273	0.993863	0.000000	0.000000	46.300627	50.000000
1.230000	29.999996	0.000000	0.990129	0.000000	-1063.100023	0.000000	50.003302	0.993868	0.000000	0.000000	46.300429	50.000000
1.240000	29.999997	0.000000	0.990099	0.000000	-1062.800023	0.000000	50.003330	0.993873	0.000000	0.000000	46.300229	50.000000
1.250000	29.999997	0.000000	0.990069	0.000000	-1062.500023	0.000000	50.003358	0.993877	0.000000	0.000000	46.300028	50.000000
1.260000	29.999997	0.000000	0.990039	0.000000	-1062.200024	0.000000	50.003386	0.993882	0.000000	0.000000	46.299825	50.000000
1.270000	29.999997	0.000000	0.990009	0.000000	-1061.900024	0.000000	50.003413	0.993886	0.000000	0.000000	46.299621	50.000000
1.280000	29.999998	0.000000	0.989978	0.000000	-1061.600024	0.000000	50.003441	0.993890	0.000000	0.000000	46.299415	50.000000
1.295000	29.999998	0.000000	0.989932	0.000000	-1061.150024	0.000000	50.003482	0.993898	0.000000	0.000000	46.298999	50.000000
1.305000	29.999998	0.000000	0.989901	0.000000	-1060.850024	0.000000	50.003509	0.993902	0.000000	0.000000	46.298788	50.000000
1.315000	29.999998	0.000000	0.989870	0.000000	-1060.550024	0.000000	50.003536	0.993906	0.000000	0.000000	46.298576	50.000000
1.325000	29.999999	0.000000	0.989839	0.000000	-1060.250024	0.000000	50.003563	0.993910	0.000000	0.000000	46.298363	50.000000
1.335000	29.999999	0.000000	0.989808	0.000000	-1059.950024	0.000000	50.003590	0.993913	0.000000	0.000000	46.298149	50.000000
1.345000	29.999999	0.000000	0.989777	0.000000	-1059.650024	0.000000	50.003617	0.993916	0.000000	0.000000	46.297934	50.000000
1.355000	29.999999	0.000000	0.989745	0.000000	-1059.350024	0.000000	50.003643	0.993920	0.000000	0.000000	46.297717	50.000000
1.365000	30.000000	0.000000	0.989714	0.000000	-1059.050024	0.000000	50.003670	0.993923	0.000000	0.000000	46.297499	50.000000
1.380000	30.000000	0.000000	0.989666	0.000000	-1058.600024	0.000000	50.003709	0.993926	0.000000	0.000000	46.297281	50.000000
1.390000	30.000000	0.000000	0.989635	0.000000	-1058.300024	0.000000	50.003735	0.993929	0.000000	0.000000	46.297061	50.000000
1.400000	30.000000	0.000000	0.989603	0.000000	-1058.000024	0.000000	50.003761	0.993931	0.000000	0.000000	46.296840	50.000000
